city,state,population
Hackensack ,NJ,"42,804"
Coral Gables ,FL,"42,781"
Bonita Springs ,FL,"42,730"
Prescott ,AZ,"42,697"
Ceres ,CA,"42,690"
Pittsfield ,MA,"42,652"
Farmington ,NM,"42,637"
Strongsville ,OH,"42,617"
Kannapolis ,NC,"42,521"
Commerce City ,CO,"42,473"
Fairfield ,OH,"42,384"
Caldwell ,ID,"42,331"
Draper ,UT,"42,317"
Oakland Park ,FL,"42,293"
Ankeny ,IA,"42,287"
The Colony ,TX,"42,281"
Concord ,NH,"42,255"
Bartlett,IL,"42,209"
Sayreville,NJ,"42,208"
Twin Falls ,ID,"42,197"
Noblesville ,IN,"42,155"
Fond du Lac ,WI,"42,025"
Crystal Lake ,IL,"41,797"
Blacksburg,VA,"41,796"
Newark ,CA,"41,781"
North Lauderdale ,FL,"41,772"
Chelsea ,MA,"41,577"
Aliso Viejo ,CA,"41,572"
Charlottesville ,VA,"41,487"
Hickory ,NC,"41,305"
Salem ,MA,"41,256"
Danville,CA,"41,182"
Casa Grande ,AZ,"41,152"
Rancho Palos Verdes ,CA,"41,106"
Lompoc ,CA,"41,099"
Belleville ,IL,"41,097"
Leominster ,MA,"41,055"
Wilkes-Barre ,PA,"40,932"
Midland ,MI,"40,917"
Hutchinson ,KS,"40,889"
Fort Pierce ,FL,"40,885"
Bullhead City ,AZ,"40,868"
Littleton ,CO,"40,777"
Jefferson City ,MO,"40,771"
Lacey ,WA,"40,702"
La Puente ,CA,"40,642"
Westfield ,MA,"40,608"
Hoboken ,NJ,"40,577"
Rohnert Park ,CA,"40,496"
San Gabriel ,CA,"40,445"
San Bruno ,CA,"40,315"
Fitchburg ,MA,"40,239"
Haltom City ,TX,"40,181"
Sammamish ,WA,"40,179"
Edmonds ,WA,"40,158"
Muskogee ,OK,"40,099"
York ,PA,"40,097"
El Centro ,CA,"40,083"
Carol Stream,IL,"40,004"
Columbus ,IN,"40,001"
Shelton ,CT,"39,991"
Quincy ,IL,"39,983"
Altamonte Springs ,FL,"39,947"
Holyoke ,MA,"39,947"
Beavercreek ,OH,"39,909"
Cleveland ,TN,"39,753"
Riverton ,UT,"39,751"
Hagerstown ,MD,"39,728"
Pflugerville ,TX,"39,653"
Urbana ,IL,"39,641"
Leesburg,VA,"39,641"
Spartanburg ,SC,"39,584"
Hot Springs ,AR,"39,467"
Bozeman ,MT,"39,442"
State College,PA,"39,419"
Atlantic City ,NJ,"39,408"
Muskegon ,MI,"39,401"
Coachella ,CA,"39,391"
Beverly ,MA,"39,343"
Collierville,TN,"39,211"
Linden ,NJ,"39,162"
Coppell ,TX,"39,154"
