Member,Party,Home State,District,Meeting Type,Date,Time,Location,Address
Rod Blum,Republican,Iowa,IA-01,Office Hours,"Wed, Feb 22, 2017","11:00 AM, CST",,"106 N 3rd St, Bellevue, IA 52031"
Rod Blum,Republican,Iowa,IA-01,Office Hours,"Wed, Feb 22, 2017","1:00 PM, CST",,"126 S 2nd St, Maquoketa, IA 52060"
Chuck Grassley,Republican,Iowa,Senate,Town Hall,"Thu, Feb 23, 2017","10:00 AM, CST",Floyd County Courthouse,"101 S Main St, Charles City, IA 50616"
Chuck Grassley,Republican,Iowa,Senate,Town Hall,"Fri, Feb 24, 2017","8:00 AM, CST",Parkersburg Civic Center,"502 3rd St, Parkersburg, IA 50665"
Rod Blum,Republican,Iowa,IA-01,Office Hours,"Fri, Feb 24, 2017","10:00 AM, CST",,"930 Park St, Grinnell, IA 50112"
Rod Blum,Republican,Iowa,IA-01,Office Hours,"Fri, Feb 24, 2017","12:30 PM, CST",,"300 W State St, Williamsburg, IA 52361"
Pat Roberts,Republican,Kansas,Senate,Ticketed event,"Wed, Feb 22, 2017","11:30 PM, CST",Wichita Country Club,"8501 E 13th St N, Wichita, KS 67206"
Mitch McConnell,Republican,Kentucky,Senate,Ticketed event,"Wed, Feb 22, 2017","11:30 AM, EST",Louisville Marriott East,"1903 Embassy Square Blvd, Louisville, KY 40299"
Mitch McConnell,Republican,Kentucky,Senate,Ticketed Event,"Thu, Feb 23, 2017","11:30 AM, EST",Hotel Covington,"638 Madison Ave, Covington, KY 41011"
Mitch McConnell,Republican,Kentucky,Senate,Other,"Thu, Feb 23, 2017","11:30 AM, EST",Hotel Covington,"638 Madison Ave, Covington, KY 41011"
James Comer,Republican,Kentucky,KY-01,Town Hall,"Thu, Feb 23, 2017","2:00 PM, EST",Casey County Judicial Center,"Court House Square, Liberty, KY 42539"
Bill Cassidy,Republican,Louisiana,Senate,Town Hall,"Wed, Feb 22, 2017","3:30 PM, CST",East Jefferson Parish Library,"4747 W Napoleon Ave, Metairie, LA 70001"
Bill Cassidy,Republican,Louisiana,Senate,Town Hall,"Thu, Feb 23, 2017","9:00 AM, CST",Assumption Parrish,Louisiana
Bill Cassidy,Republican,Louisiana,Senate,Town Hall,"Fri, Feb 24, 2017",", CST",St. Martin Parish,Louisiana
Angus King,Independent,Maine,Senate,Coffee,Every Wednesday,"9:00 AM, EST",Hart Senate Office Building,"Hart Senate Office Building, Washington, DC 20002"
John Delaney,Democrat,Maryland,MD-06,Other,"Thu, Mar 2, 2017","6:00 PM, EST",Northern Middle School,"701 Northern Ave, Hagerstown, MD 21742"
John Sarbanes,Democratic,Maryland,MD-3,Office Hours,Every Thursday,"11:00 AM, EST",Praisner Community Recreation Center,"14906 Old Columbia Pike, Burtonsville, MD 20866"
John Sarbanes,Democratic,Maryland,MD-3,Office Hours,Every Tuesday,"11:00 AM, EST",Arundel Center,"44 Calvert St #349, Annapolis, MD 21401"
John Sarbanes,Democratic,Maryland,MD-3,Office Hours,Weekdays,"9:00 AM, EST",,"600 Baltimore Ave #303, Towson, MD 21204"
John Delaney,Democratic,Maryland,MD-08,Other,"Wed, Feb 22, 2017","1:00 PM, EST",The Activity Center at Bohrer Park,"506 S Frederick Ave, Gaithersburg, MD 20877"
Seth Moulton,Democrat,Massachusetts,MA-06,Office Hours,"Wed, Feb 22, 2017","4:30 PM, EST",Council on Aging and Senior Center,"17 Pickering St, Essex, MA 01929"
Ed Markey,Democratic,Massachusetts,Senate,Town Hall,"Thu, Feb 23, 2017","6:00 PM, EST",Smith College - Sweeney Concert Hall,"51 College Ln, Northampton, MA 01060"
Edward Markey,Democrat,Massachusetts,Senate,Town Hall,"Thu, Feb 23, 2017","6:00 PM, EST","Sweeney Concert Hall, Smith College","144 Green St, Northampton, MA 01060"
